repeat,dim,bottleneck,ratio,spearman,pvalue,final_loss
1,160,28,0.175,0.10638603026383335,1.4437163691943232e-26,50.5122034072876
1,160,32,0.2,0.13348861818328095,5.484679766427076e-41,50.852140712738034
1,96,20,0.2083,0.14788021427632467,5.319148941227562e-50,31.826046323776247
1,128,32,0.25,0.14918828510687016,7.234059362974176e-51,41.796123027801514
1,112,32,0.2857,0.16059914896521923,9.209103631191173e-59,36.2558352470398
1,64,20,0.3125,0.23568672343686722,2.8355873067929882e-126,18.141830015182496
1,56,20,0.3571,0.2565793246777932,4.4099785894737743e-150,16.203564715385436
1,80,32,0.4,0.18963903542439034,1.2805281761810727e-81,27.567338943481445
1,56,24,0.4286,0.24388832867088328,2.3845369609160153e-135,19.75242600440979
1,64,28,0.4375,0.25491947155719474,4.1637744404527105e-148,22.280299282073976
1,64,32,0.5,0.2554056462460565,1.1028065360535477e-148,21.183246517181395
1,56,32,0.5714,0.2291635597796356,2.654871041030616e-119,17.1770742893219
1,48,28,0.5833,0.2466845496308455,1.5984160498866957e-138,15.74718210697174
1,40,24,0.6,0.313789098593891,2.324288489192836e-227,12.227926802635192
1,32,20,0.625,0.4291669743316697,0.0,8.231233203411103
1,48,32,0.6667,0.2851845082398451,1.907164438367548e-186,15.226800322532654
1,40,28,0.7,0.3759879821078798,0.0,12.51226348876953
1,28,20,0.7143,0.45996831303968316,0.0,7.142713630199433
1,32,24,0.75,0.4470180728461807,0.0,6.10487779378891
1,40,32,0.8,0.32777091736970915,4.3415850698575975e-249,12.905665850639343
1,24,20,0.8333,0.4448234208562342,0.0,4.867132639884948
1,28,24,0.8571,0.45749138291091385,0.0,7.856784677505493
1,32,28,0.875,0.47721661239216606,0.0,9.260416913032532
1,32,32,1.0,0.4778617291106173,0.0,8.946147298812866
2,200,2,0.01,0.058443240435337225,4.957495787142969e-09,62.58013515472412
2,160,6,0.0375,0.07977705027416712,1.3554923115604077e-15,51.02414636611938
2,192,12,0.0625,0.054773032026593976,4.2356776116817114e-08,60.24762296676636
2,176,16,0.0909,0.09399814148979102,4.5324111805692646e-21,55.7745979309082
2,200,24,0.12,0.08525511237074324,1.3422561800034496e-17,62.29771432876587
2,192,28,0.1458,0.10659517901338762,1.1503386514573374e-26,59.13242559432983
2,160,28,0.175,0.07734424605231469,9.553588528577395e-15,50.954563522338866
2,160,32,0.2,0.1271094649817713,2.7018996748181416e-37,50.80726480484009
2,96,20,0.2083,0.19540761230832207,1.2204901510046804e-86,32.08946957588196
2,128,32,0.25,0.1348792639849692,8.120838607312513e-42,41.255234718322754
2,112,32,0.2857,0.14953290954757822,4.2637132103738687e-51,36.74579553604126
2,64,20,0.3125,0.21204321675243218,4.978858093472174e-102,22.895658874511717
2,56,20,0.3571,0.27275522112355216,4.2338140331883506e-170,17.426263427734376
2,80,32,0.4,0.20813432047196762,2.7265918477848324e-98,26.485652112960814
2,56,24,0.4286,0.33578910978989107,4.4358105167215697e-262,17.294053840637208
2,64,28,0.4375,0.2398714098347141,7.338187924097713e-131,22.28542833328247
2,64,32,0.5,0.2484761295367613,1.4087082406707161e-140,20.03407425880432
2,56,32,0.5714,0.29518978849189786,3.1550674273055055e-200,19.60050539970398
2,48,28,0.5833,0.27478531610385315,1.0345505163186104e-172,17.07031080722809
2,40,24,0.6,0.3934002399220024,0.0,10.57923378944397
2,32,20,0.625,0.41082365750823663,0.0,10.051851034164429
2,48,32,0.6667,0.31940033628200337,6.10366319975901e-236,14.086379408836365
2,40,28,0.7,0.3635424416634244,3.91956913637337e-310,10.032372879981995
2,28,20,0.7143,0.4405694871856949,0.0,10.033659434318542
2,32,24,0.75,0.39640294212402943,0.0,8.750456619262696
2,40,32,0.8,0.36259371224593717,2.075402720834622e-308,11.614129090309143
2,24,20,0.8333,0.47917178534771787,0.0,5.088337469100952
2,28,24,0.8571,0.5065334109613342,0.0,4.503473961353302
2,32,28,0.875,0.40054996820149963,0.0,7.868646132946014
2,32,32,1.0,0.35738882439388825,4.6838139034440716e-299,11.054508531093598
3,200,2,0.01,0.06850900187216048,6.978143843758252e-12,63.02979097366333
3,160,6,0.0375,0.08651192912326398,4.4614466368532604e-18,50.57153158187866
3,192,12,0.0625,0.0654825927541811,5.5837627218833e-11,60.41619958877563
3,176,16,0.0909,0.06477646766978641,8.953171297541283e-11,56.51393728256225
3,200,24,0.12,0.08680283119147139,3.449590270544324e-18,62.28979625701904
3,192,28,0.1458,0.09545538261889525,1.109131564752884e-21,59.955670070648196
3,160,28,0.175,0.10749172331633372,4.322285305845876e-27,51.403248405456544
3,160,32,0.2,0.0987101754713695,4.422107380026683e-23,50.57821846008301
3,96,20,0.2083,0.1656567739963984,1.8642444463434035e-62,32.52285017967224
3,128,32,0.25,0.1346228238146465,1.156741492370103e-41,40.397407150268556
3,112,32,0.2857,0.14756324373430701,8.602252287976411e-50,36.67291345596313
3,64,20,0.3125,0.26154364049943646,4.4686852574720584e-156,21.648448848724364
3,56,20,0.3571,0.265843195782432,2.2506489053254796e-161,19.295241403579713
3,80,32,0.4,0.19479501552687206,4.240183312435824e-86,26.732239532470704
3,56,24,0.4286,0.2900338867643389,4.687138263004571e-193,18.661634922027588
3,64,28,0.4375,0.1703505908395059,5.431402883678539e-66,23.714533519744872
3,64,32,0.5,0.24357812109578122,5.3331599855636526e-135,22.455203199386595
3,56,32,0.5714,0.29513269592332697,3.795299068230357e-200,19.0381582736969
3,48,28,0.5833,0.29405420216454203,1.2344905293390664e-198,14.932380104064942
3,40,24,0.6,0.33608085224480855,1.4686259835980153e-262,13.015661978721619
3,32,20,0.625,0.41947063290670633,0.0,10.618278861045837
3,48,32,0.6667,0.3023861445238615,1.7256398892697532e-210,17.151997423172
3,40,28,0.7,0.32936739552567396,1.208482540779359e-251,11.72065544128418
3,28,20,0.7143,0.43335683065356834,0.0,7.871378719806671
3,32,24,0.75,0.4380734116207341,0.0,10.053774070739745
3,40,32,0.8,0.35932336462123365,1.6389766438914705e-302,12.309148359298707
3,24,20,0.8333,0.49831817563518177,0.0,2.7470325767993926
3,28,24,0.8571,0.4968518859605188,0.0,6.915950405597687
3,32,28,0.875,0.41067655061076547,0.0,7.1666666030883786
3,32,32,1.0,0.3362824923988249,6.83608326605848e-263,7.470839965343475
4,200,2,0.01,0.055246789340002454,3.235138884259855e-08,63.37175254821777
4,160,6,0.0375,0.08855975519205042,7.164751353225451e-19,51.48506212234497
4,192,12,0.0625,0.08069369564169163,6.395305064760143e-16,60.41703977584839
4,176,16,0.0909,0.09190981659927558,3.28167522399659e-20,55.18823003768921
4,200,24,0.12,0.10877427542081868,1.0503547749272425e-27,62.61734075546265
4,192,28,0.1458,0.09387987148480272,5.076156713406348e-21,60.494193363189694
4,160,28,0.175,0.1336265309750517,4.542314396668257e-41,51.434583473205564
4,160,32,0.2,0.10859774383330638,1.2774241189050515e-27,51.11589813232422
4,96,20,0.2083,0.16242253621517647,4.4296809819376305e-60,31.76767134666443
4,128,32,0.25,0.1651698975605194,4.278604382793244e-62,41.29980936050415
4,112,32,0.2857,0.13594363553134134,1.8566013070056186e-42,36.68379602432251
4,64,20,0.3125,0.2279146776231468,5.420173774757897e-118,21.545123481750487
4,56,20,0.3571,0.26667671792676717,2.059533656466517e-162,19.252003383636474
4,80,32,0.4,0.18856698758023557,1.0537593679594794e-80,27.348563051223756
4,56,24,0.4286,0.2874170128861701,1.7942832450921256e-189,18.942616319656373
4,64,28,0.4375,0.18070111732301117,3.71395212066327e-74,22.196180725097655
4,64,32,0.5,0.2884372210243722,7.270974719336028e-191,20.89409394264221
4,56,32,0.5714,0.30378268147382687,1.6262377455997504e-212,18.181441450119017
4,48,28,0.5833,0.3138820727948207,1.6812175723614622e-227,15.67070164680481
4,40,24,0.6,0.34461114684211147,7.907064148661146e-277,14.241074872016906
4,32,20,0.625,0.44523319898433195,0.0,9.248923301696777
4,48,32,0.6667,0.36235048843150486,5.729302429723453e-308,16.782669615745544
4,40,28,0.7,0.3378938791749388,1.485438413697098e-265,12.631903719902038
4,28,20,0.7143,0.43820058314600585,0.0,8.764098596572875
4,32,24,0.75,0.41273751821937515,0.0,8.458240842819214
4,40,32,0.8,0.33740284622602845,9.660961042425078e-265,11.84275825023651
4,24,20,0.8333,0.39023037967430374,0.0,6.8348672747612
4,28,24,0.8571,0.4222683485626835,0.0,8.130980002880097
4,32,28,0.875,0.4067756391717564,0.0,8.279525923728944
4,32,32,1.0,0.39032121115521207,0.0,7.545809686183929
5,200,2,0.01,0.045974605548612,4.238769085744758e-06,62.42202606201172
5,160,6,0.0375,0.09228667007068303,2.3033829899316977e-20,51.15576934814453
5,192,12,0.0625,0.047070495830908755,2.488480554747304e-06,60.09451665878296
5,176,16,0.0909,0.09578023142458321,8.0802188530709515e-22,55.354105377197264
5,200,24,0.12,0.056705711642700544,1.3915265640626843e-08,62.262042140960695
5,192,28,0.1458,0.09863381170473505,4.775269431741359e-23,60.38010196685791
5,160,28,0.175,0.1026385897831235,7.8371696034980485e-25,50.453536701202395
5,160,32,0.2,0.13224318383028716,2.982620465884941e-40,50.0482400894165
5,96,20,0.2083,0.16275689579088054,2.529451144926244e-60,32.14681086540222
5,128,32,0.25,0.11885336048896276,8.648870253431824e-33,41.77782163619995
5,112,32,0.2857,0.13563602976730255,2.847517993405031e-42,36.49349098205566
5,64,20,0.3125,0.23126058761660584,1.6091770790277347e-121,21.235997676849365
5,56,20,0.3571,0.2737121702891217,2.5020181640155873e-171,17.264204692840575
5,80,32,0.4,0.21038165416234111,1.9747178288777483e-100,27.514927911758424
5,56,24,0.4286,0.22969961396899613,7.233325782671959e-120,19.51676564216614
5,64,28,0.4375,0.2640914915169149,3.3319641976864634e-159,20.326318120956422
5,64,32,0.5,0.20630418560304187,1.4454595771920286e-96,21.630680322647095
5,56,32,0.5714,0.3405408516934085,5.791058591262729e-270,18.719676780700684
5,48,28,0.5833,0.3134261538622615,8.221011973138274e-227,15.8087660074234
5,40,24,0.6,0.3655560375075604,0.0,11.94366796016693
5,32,20,0.625,0.3927417707074177,0.0,9.48394696712494
5,48,32,0.6667,0.32206970928469714,4.3468973576557054e-240,16.036765909194948
5,40,28,0.7,0.36353251231132516,4.0861149906513e-310,12.092983865737915
5,28,20,0.7143,0.4423607431876074,0.0,7.9597439646720884
5,32,24,0.75,0.34783376296633767,2.4519080464352967e-282,11.873629689216614
