ratio,spearman_mean,spearman_std,spearman_sem,spearman_min,spearman_max,loss_mean,loss_std,count,dim,bottleneck
0.01,0.042330157346407826,0.013039943891483753,0.0018821537789914403,0.015232067752767663,0.0695272221916723,63.10497413078944,0.3913388030260595,48.0,200.0,2.0
0.0375,0.07991905455625285,0.01635686184349229,0.002360909647109448,0.03225019976964221,0.10710338337933883,51.24132827321688,0.3314779252845941,48.0,160.0,6.0
0.0625,0.07493357281335329,0.012178284892343053,0.0017577840152155537,0.047070495830908755,0.09625463014558278,60.22635295589765,0.6386313852233974,48.0,192.0,12.0
0.0909,0.08227443467049632,0.014516044414824238,0.0020952105376168344,0.05879214042953745,0.11563391328155383,55.53320030371348,0.44127679612987186,48.0,176.0,16.0
0.12,0.0784884221745513,0.01027287523850294,0.0014827618210752785,0.05250045481322937,0.10877427542081868,62.52558563351632,0.4038826693879008,48.0,200.0,24.0
0.1458,0.08430200545502754,0.012313689397857094,0.0017773279721425585,0.053606612962058105,0.10659517901338762,60.21968033512434,0.401918240719548,48.0,192.0,28.0
0.175,0.10533487791726052,0.015143822603946835,0.002185822514237161,0.07553274807195684,0.1336265309750517,50.99487354159354,0.4166579220409154,48.0,160.0,28.0
0.2,0.11097807456725896,0.019059552994020512,0.00275100951293292,0.07995992430971394,0.15696753809589986,50.78910210132599,0.3450601323409171,48.0,160.0,32.0
0.2083,0.15591827084546814,0.022917027576194113,0.003307788010035437,0.10831664872333252,0.20520958489296298,32.04447459677855,0.5282442197137659,48.0,96.0,20.0
0.25,0.136663837163731,0.01906702092394172,0.0027520874157704947,0.10176393875308287,0.17539961850462127,41.50497686068217,0.4761433514828297,48.0,128.0,32.0
0.2857,0.15305778201366713,0.018278480867458525,0.002638271462301151,0.11094545436651168,0.19504593637151538,36.78824766476949,0.5520062349647835,48.0,112.0,32.0
0.3125,0.22069990564799905,0.030081587817102084,0.004341903205963814,0.14734172684141725,0.28022857402228574,21.79918197294076,0.9424014195772511,48.0,64.0,20.0
0.3571,0.25657128071996277,0.025933059223251294,0.0037431146808636607,0.17321149264011493,0.31211853374518533,18.69583207865556,1.212331267399316,48.0,56.0,20.0
0.4,0.20097801263948442,0.023692614187040845,0.0034197342946734946,0.13795266623952665,0.24722666627575002,26.877806188662845,0.8046128194449992,48.0,80.0,32.0
0.4286,0.2654821093935711,0.03142652151944281,0.004536027664735968,0.15818560550185606,0.33578910978989107,18.77235508809487,0.8946854910861661,48.0,56.0,24.0
0.4375,0.2409965167723689,0.030496669575719997,0.0044018150972322525,0.1703505908395059,0.3045192321571923,21.72732540071011,0.7298030770757532,48.0,64.0,28.0
0.5,0.2488180031170605,0.03135701268827656,0.004525994929139745,0.1786856096988561,0.31781664199016646,21.340520506103832,0.8892045568409388,48.0,64.0,32.0
0.5714,0.2803730507429805,0.02971728527907436,0.004289320663864621,0.21644922400049224,0.3526580780625808,18.39761509994666,1.0989407290905868,48.0,56.0,32.0
0.5833,0.29995285809127864,0.038391303628633675,0.005541307371133077,0.21300420148204202,0.3630292389182924,15.234946143130463,1.1437542892559835,48.0,48.0,28.0
0.6,0.34546372004303505,0.04205517394995224,0.006070141500205366,0.24448703061287028,0.4190940125669401,12.01351866200566,1.292300773543026,48.0,40.0,24.0
0.625,0.394011499327615,0.039796633374010265,0.005744149247831418,0.29263760353037604,0.45664478350244786,8.712171915173531,1.5191388871619202,48.0,32.0,20.0
0.6667,0.31504932433849325,0.0315377956780801,0.00455208870609674,0.2533811121618111,0.38091394488513947,15.512836762269337,1.193878244635511,48.0,48.0,32.0
0.7,0.3578131875108819,0.04612331448570714,0.006657327008560196,0.23446119720461198,0.4326504294785043,11.847900058329108,1.2051442783059634,48.0,40.0,28.0
0.7143,0.4278986645312366,0.03463857109580168,0.004999647086626272,0.32844742392847426,0.4920963553209636,7.128306628887852,1.5474830349330635,48.0,28.0,20.0
0.75,0.40929079470590796,0.04411299409326431,0.00636716225362663,0.27256944381769443,0.4819532845275328,8.500526112690567,1.6244901689152011,48.0,32.0,24.0
0.8,0.367931198773062,0.037410991786848716,0.005399811544696997,0.2807912187479122,0.4411674135556742,11.45576369414727,1.2718437827743871,48.0,40.0,32.0
0.8333,0.4643888347936384,0.04214887696095937,0.006083666364862577,0.36529246801692467,0.5351513858155138,4.853030895713406,1.7943187284331517,48.0,24.0,20.0
0.8571,0.43458391413808917,0.04305181096696487,0.006213993662719513,0.33549923209899235,0.5065334109613342,6.711419189597169,1.2688066436677667,48.0,28.0,24.0
0.875,0.4163688417486884,0.03640988751161854,0.00525531458899924,0.3277612113256121,0.4836139085521391,8.560841736818354,1.4786387898815458,48.0,32.0,28.0
1.0,0.4159393129511431,0.04119185377181142,0.005945531965893757,0.308527596133276,0.4778617291106173,8.739252891391516,1.6242340926594145,48.0,32.0,32.0
